date,class,amount
2020-09-21,united_nations,2323420685
2020-09-21,world_health_organization,1518959340
2020-09-21,red_cross,137282774
2020-09-21,ngo,841481670
2020-09-21,government,570571265
2020-09-21,uncategorized,198347050
2020-09-28,united_nations,2325452456
2020-09-28,world_health_organization,1524719921
2020-09-28,red_cross,138377454
2020-09-28,ngo,860756896
2020-09-28,government,571165234
2020-09-28,uncategorized,198347050
2020-10-05,united_nations,2420954298
2020-10-05,world_health_organization,1526715921
2020-10-05,red_cross,138377454
2020-10-05,ngo,898970490
2020-10-05,government,576565234
2020-10-05,uncategorized,198347050
2020-10-12,united_nations,2494847591
2020-10-12,world_health_organization,1527066124
2020-10-12,red_cross,138377454
2020-10-12,ngo,939900530
2020-10-12,government,601398356
2020-10-12,uncategorized,198347050
2020-10-19,united_nations,2496767591
2020-10-19,world_health_organization,1527200579
2020-10-19,red_cross,138377454
2020-10-19,ngo,957586897
2020-10-19,government,601398356
2020-10-19,uncategorized,198347050
2020-10-26,united_nations,2525319645
2020-10-26,world_health_organization,1528151813
2020-10-26,red_cross,138377454
2020-10-26,ngo,964529308
2020-10-26,government,601398356
2020-10-26,uncategorized,198347050
2020-11-02,united_nations,2529820886
2020-11-02,world_health_organization,1541401813
2020-11-02,red_cross,141755031
2020-11-02,ngo,974151048
2020-11-02,government,601398356
2020-11-02,uncategorized,198347050
2020-11-09,united_nations,2600379521
2020-11-09,world_health_organization,1562612209
2020-11-09,red_cross,144080031
2020-11-09,ngo,986649958
2020-11-09,government,601398356
2020-11-09,uncategorized,198347050
2020-11-16,united_nations,2605813440
2020-11-16,world_health_organization,1563757507
2020-11-16,red_cross,144080031
2020-11-16,ngo,1001182163
2020-11-16,government,601398356
2020-11-16,uncategorized,198347050
2020-11-23,united_nations,2608911197
2020-11-23,world_health_organization,1563757507
2020-11-23,red_cross,144080031
2020-11-23,ngo,1010466765
2020-11-23,government,601398356
2020-11-23,uncategorized,278347050
2020-11-30,united_nations,2644302752
2020-11-30,world_health_organization,1563757507
2020-11-30,red_cross,144080031
2020-11-30,ngo,1017622828
2020-11-30,government,601398356
2020-11-30,uncategorized,278347050
2020-12-07,united_nations,2666488776
2020-12-07,world_health_organization,1563757507
2020-12-07,red_cross,144080031
2020-12-07,ngo,1032874829
2020-12-07,government,601398356
2020-12-07,uncategorized,278347050
2020-12-14,united_nations,2668878262
2020-12-14,world_health_organization,1563757507
2020-12-14,red_cross,144796877
2020-12-14,ngo,1037783764
2020-12-14,government,601398356
2020-12-14,uncategorized,278347050
2020-12-21,united_nations,2679630950
2020-12-21,world_health_organization,1563757507
2020-12-21,red_cross,144796877
2020-12-21,ngo,1038814104
2020-12-21,government,601398356
2020-12-21,uncategorized,279089770
2020-12-28,united_nations,2679630950
2020-12-28,world_health_organization,1563757507
2020-12-28,red_cross,144796877
2020-12-28,ngo,1040420766
2020-12-28,government,601398356
2020-12-28,uncategorized,279089770
2021-01-04,united_nations,2679630950
2021-01-04,world_health_organization,1563757507
2021-01-04,red_cross,144796877
2021-01-04,ngo,1040420766
2021-01-04,government,601398356
2021-01-04,uncategorized,279089770
2021-01-11,united_nations,2679630950
2021-01-11,world_health_organization,1563757507
2021-01-11,red_cross,144796877
2021-01-11,ngo,1040420766
2021-01-11,government,601398356
2021-01-11,uncategorized,279089770
2021-01-18,united_nations,2679630950
2021-01-18,world_health_organization,1563757507
2021-01-18,red_cross,144796877
2021-01-18,ngo,1040420766
2021-01-18,government,601398356
2021-01-18,uncategorized,279089770
2020-12-31,united_nations,2679630950
2020-12-31,world_health_organization,1563757507
2020-12-31,red_cross,144796877
2020-12-31,ngo,1040420766
2020-12-31,government,601398356
2020-12-31,uncategorized,279089770
2020-12-30,united_nations,2679630950
2020-12-30,world_health_organization,1563757507
2020-12-30,red_cross,144796877
2020-12-30,ngo,1040420766
2020-12-30,government,601398356
2020-12-30,uncategorized,279089770
